NM_VOTAVEL,DS_CARGO,QT_VOTOS
PAULO ROBERTO BELATO CARVALHO,PREFEITO,15494
SAMUEL DUTRA JUNIOR,PREFEITO,3498
JOÃO GERALDO DIAS,PREFEITO,2162
AILTON SILVEIRA DIAS,PREFEITO,2416
JOSE WALTER RESENDE AGUIAR,PREFEITO,4337
EDSON SAID REZENDE,PREFEITO,7272
MARCIO ANTONIO BELEM,PREFEITO,11236
JOÃO CARLOS CABRAL DE ALMEIDA,PREFEITO,8128
MILTON BARBOSA LIMA,PREFEITO,10677
ADALTO LUIS LEAL,PREFEITO,3333
AGENÍCIO DE OLIVEIRA,PREFEITO,3513
MARIA DE FATIMA GUERRA CABRAL,PREFEITO,1092
HUGO GERALDO LOPES,PREFEITO,1824
DAYSE MARIA SILVA GALANTE,PREFEITO,3052
VASCO NAVARRO RODRIGUES CALDAS,PREFEITO,3716
JOSÉ MARIA NOVATO,PREFEITO,1832
JOÃO BATISTA DA SILVA,PREFEITO,12037
OSMAIR LEAL DOS REIS,PREFEITO,1496
SUELI CUNHA TERRA,PREFEITO,1370
JANIO WILTON MURTA PINTO COELHO,PREFEITO,2244
VANDERLI DE CARVALHO BARBOSA,PREFEITO,3464
RICARDO JOSE ROCHA,PREFEITO,1900
VICENTE DE PAULA GERMANO,PREFEITO,1308
RAIMUNDO MENEZES DE CARVALHO FILHO,PREFEITO,3654
ABILIO PEIXOTO FRANCHINI,PREFEITO,3818
OTONI ALVES DE OLIVEIRA MELO,PREFEITO,2695
EUGÊNIO VILELA JÚNIOR,PREFEITO,31384
LUIZ CARLOS DA SILVA,PREFEITO,3055
ADENILSON QUEIROZ,PREFEITO,1402
PATRICK CAMPOS DINIZ,PREFEITO,1238
ADELINO PINHEIRO DE SOUSA,PREFEITO,2816
EDUARDO RABELO FONSECA,PREFEITO,2360
MARIO OSVALDO RODRIGUES CASASANTA,PREFEITO,5454
EDUIR CAMARGOS ALMEIDA,PREFEITO,2109
LAURO ALVES FRANCO,PREFEITO,1539
JOSÉ GERALDO DE MATTOS BICALHO,PREFEITO,3045
LEANDRO GONÇALVES FERNANDES,PREFEITO,1527
MARCELO MENDES PASSUELO,PREFEITO,4035
LEONARDO MEDEIROS DA SILVA,PREFEITO,1945
