NM_VOTAVEL,DS_CARGO,ANO
GILMAR ALVES MACHADO,DEPUTADO FEDERAL,2022
GILSON MARTINS DE MELO,DEPUTADO ESTADUAL,2022
GILSON SANTIAGO ARANHA JUNIOR,DEPUTADO ESTADUAL,2022
GLEIDE ANDRADE DE OLIVEIRA,DEPUTADO FEDERAL,2022
GLEISER LUCIO BORONI SOARES,DEPUTADO FEDERAL,2022
GLÁUCIA MARIA SANTIAGO RODRIGUES,DEPUTADO FEDERAL,2022
GLÓRIA DE FÁTIMA LOPES PENA,DEPUTADO ESTADUAL,2022
GRACIELLE TORRES MOREIRA,DEPUTADO ESTADUAL,2022
GREYCE DE QUEIROZ ELIAS,DEPUTADO FEDERAL,2022
GUILHERME DA CUNHA ANDRADE,DEPUTADO FEDERAL,2022
GUSTAVO ADJUTO MARTINS CARNEIRO,DEPUTADO FEDERAL,2022
GUSTAVO ADOLFO ARANTES,DEPUTADO ESTADUAL,2022
GUSTAVO MENDES DE MIRANDA,DEPUTADO FEDERAL,2022
GUSTAVO TAMBELINI BRASILEIRO,DEPUTADO ESTADUAL,2022
HELI GERALDO DE ANDRADE,DEPUTADO ESTADUAL,2022
HELOYR LIVINGSTONE BARREIROS FORTUNATO,DEPUTADO ESTADUAL,2022
HELVIO VIEIRA MAIA,DEPUTADO FEDERAL,2022
HELY TARQÜÍNIO,DEPUTADO ESTADUAL,2022
HENRIQUE JOSE DA SILVA SOUZA,DEPUTADO FEDERAL,2022
HERCULANO ANGHINETTI,DEPUTADO FEDERAL,2022
HUENDER FRANCO DIAS,DEPUTADO ESTADUAL,2022
IGINO MARCOS DA MATA DE OLIVEIRA,DEPUTADO ESTADUAL,2022
ILACIR BICALHO DE BARROS,DEPUTADO FEDERAL,2022
INDIRA IVANISE XAVIER,GOVERNADOR,2022
IRANI DA SILVA GOMES,SENADOR,2022
IRLAN CHAVES DE OLIVEIRA MELO,DEPUTADO FEDERAL,2022
ISABELLA GONÇALVES MIRANDA,DEPUTADO ESTADUAL,2022
IURI RAFAEL TEIXEIRA FRANCO,DEPUTADO ESTADUAL,2022
JACKSON INACIO DE OLIVEIRA,DEPUTADO FEDERAL,2022
JACQUELINE APARECIDA RODRIGUES DA SILVA,DEPUTADO ESTADUAL,2022
JACQUELINE CALIXTO BARBOSA DE JESUS,DEPUTADO FEDERAL,2022
JAIR ROCHA DO PRADO,DEPUTADO ESTADUAL,2022
JEAN MARK FREIRE SILVA,DEPUTADO ESTADUAL,2022
JOAO BATISTA FERREIRA JUNIOR,DEPUTADO ESTADUAL,2022
JORGE LUIZ FORTUNATO ALI,DEPUTADO ESTADUAL,2022
JORGETÂNIA DA SILVA FERREIRA,DEPUTADO ESTADUAL,2022
JOSE EDUARDO SIMOES MENDONCA,DEPUTADO FEDERAL,2022
JOSE EUSTAQUIO DE FARIA JUNIOR,DEPUTADO FEDERAL,2022
JOSE GUILHERME FERREIRA FILHO,DEPUTADO ESTADUAL,2022
JOSE VASCO FERREIRA DIAS,DEPUTADO FEDERAL,2022
JOSÉ GERALDO DA CUNHA,DEPUTADO ESTADUAL,2022
JOSÉ HUMBERTO FULGENCIO,DEPUTADO ESTADUAL,2022
JOSÉ LUCILO DA SILVA JÚLIO,DEPUTADO ESTADUAL,2022
JOSÉ SILVA SOARES,DEPUTADO FEDERAL,2022
JOSÉ VITOR DE RESENDE AGUIAR,DEPUTADO FEDERAL,2022
JOÃO BATISTA DE OLIVEIRA,DEPUTADO FEDERAL,2022
JOÃO BATISTA FERREIRA,DEPUTADO ESTADUAL,2022
JOÃO BOSCO,DEPUTADO ESTADUAL,2022
JOÃO CARLOS SIQUEIRA,DEPUTADO FEDERAL,2022
JOÃO LEITE DA SILVA NETO,DEPUTADO ESTADUAL,2022
JOÃO PAULO FERREIRA ALBANO,DEPUTADO FEDERAL,2022
JOÃO VITOR XAVIER FAUSTINO,DEPUTADO ESTADUAL,2022
JULIANO ESTANISLAU LACERDA,DEPUTADO ESTADUAL,2022
JURACI SCHEFFER,DEPUTADO FEDERAL,2022
JURACY LÚCIA,DEPUTADO ESTADUAL,2022
KATIA REGINA OLIVEIRA DIAS,DEPUTADO FEDERAL,2022
LAFAYETTE LUIZ DOORGAL DE ANDRADA,DEPUTADO FEDERAL,2022
