NM_MUNICIPIO,NM_VOTAVEL,DS_CARGO,QT_VOTOS,ELEITO
BARBACENA,BONIFÁCIO JOSÉ RIBEIRO DE ANDRADA,PREFEITO,10397,NAO
BARBACENA,CARLOS AUGUSTO SOARES DO NASCIMENTO,PREFEITO,12553,SIM (2020)
BARBACENA,CARLOS ROBERTO BATISTA,PREFEITO,11229,NAO
BARBACENA,EDSON REZENDE MORAIS,PREFEITO,7663,NAO
BARBACENA,MARLI GAVA DA SILVA,PREFEITO,5350,NAO
BARBACENA,MARTIM FRANCISCO BORGES DE ANDRADA,PREFEITO,3289,NAO
BARBACENA,PEDRO FRANCISCO PEREIRA DO VALE,PREFEITO,3184,NAO
BARBACENA,WANDO ROBSON DE CARVALHO,PREFEITO,860,NAO
BARRA LONGA,FERNANDO JOSÉ CARNEIRO MAGALHÃES,PREFEITO,2342,SIM (2020)
BARRA LONGA,MARIO ANTONIO COELHO,PREFEITO,1805,NAO
BARROSO,ANDERSON GERALDO DE PAULA,PREFEITO,6199,SIM (2020)
BARROSO,ANTONIO MARIA CLARET DE SOUZA FILHO,PREFEITO,4273,NAO
BARROSO,BALDONEDO ARTHUR NAPOLEÃO,PREFEITO,2378,NAO
BARÃO DE COCAIS,ARMANDO VERDOLIN BRANDÃO,PREFEITO,3292,NAO
BARÃO DE COCAIS,DÉCIO GERALDO DOS SANTOS,PREFEITO,7635,SIM (2020)
BARÃO DE COCAIS,GERALDO ABADE DAS DORES,PREFEITO,7095,NAO
BARÃO DE MONTE ALTO,ALEXANDRE FREITAS BASTOS,PREFEITO,1904,NAO
BARÃO DE MONTE ALTO,FÁBIO SOARES GUIMARÃES,PREFEITO,2729,SIM (2020)
BELA VISTA DE MINAS,DIOGO AURÉLIO SILVA,PREFEITO,1259,NAO
BELA VISTA DE MINAS,JOSE NICOLAO DOS SANTOS,PREFEITO,2240,NAO
BELA VISTA DE MINAS,RICARDO ADRIANO VASCONCELLOS DIAS,PREFEITO,153,NAO
BELA VISTA DE MINAS,SAMANTHA APARECIDA DE ÁVILA COSTA MAGALHÃES,PREFEITO,2331,SIM (2020)
BELMIRO BRAGA,JARDEL DE SOUZA MORAES,PREFEITO,497,NAO
BELMIRO BRAGA,JOSÉ PAULO DE OLIVEIRA FRANCO,PREFEITO,1067,SIM (2020)
BELMIRO BRAGA,SERGIO CANDIDO BOMFONTE,PREFEITO,909,NAO
BELO HORIZONTE,ALEXANDRE KALIL,PREFEITO,784307,SIM (2020)
BELO HORIZONTE,BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA,PREFEITO,123215,NAO
BELO HORIZONTE,EDMAR WASHINGTON XAVIER PEREIRA,PREFEITO,865,NAO
BELO HORIZONTE,FABIANO LOPES FERREIRA,PREFEITO,2517,NAO
BELO HORIZONTE,JOÃO VITOR XAVIER FAUSTINO,PREFEITO,114130,NAO
BELO HORIZONTE,LAFAYETTE LUIZ DOORGAL DE ANDRADA,PREFEITO,7327,NAO
BELO HORIZONTE,LUISA CARDOSO BARRETO,PREFEITO,17161,NAO
BELO HORIZONTE,MARCELO DE SOUZA E SILVA,PREFEITO,4105,NAO
BELO HORIZONTE,MARILIA GARCIA DOMINGUES,PREFEITO,330,NAO
BELO HORIZONTE,NILMÁRIO DE MIRANDA,PREFEITO,23331,NAO
BELO HORIZONTE,RODRIGO ANTÔNIO DE PAIVA,PREFEITO,44977,NAO
BELO HORIZONTE,WADSON NATHANIEL RIBEIRO,PREFEITO,2211,NAO
BELO HORIZONTE,WANDERSON PAIVA ROCHA,PREFEITO,907,NAO
BELO HORIZONTE,WENDEL CRISTIANO SOARES DE MESQUITA,PREFEITO,9266,NAO
BELO HORIZONTE,ÁUREA CAROLINA DE FREITAS E SILVA,PREFEITO,103115,NAO
BELO ORIENTE,HAMILTON ROMULO DE MENEZES CARVALHO,PREFEITO,9666,SIM (2020)
BELO ORIENTE,HUMBERTO LOPES DE ASSIS,PREFEITO,1160,NAO
BELO ORIENTE,JOSE UVIO RIBEIRO JUNIOR,PREFEITO,4134,NAO
BELO VALE,MARCIO JOSE DOS SANTOS MALTA,PREFEITO,1792,NAO
BELO VALE,WALTENIR LIBERATO SOARES,PREFEITO,4560,SIM (2020)
BERILO,ELANE LUIZ ALVES,PREFEITO,3146,SIM (2020)
BERILO,LAZARO PEREIRA NEVES,PREFEITO,2770,NAO
BERIZAL,JOÃO CARLOS LUCAS LOPES,PREFEITO,1720,SIM (2020)
BERIZAL,TALYANE ALVES PEREIRA,PREFEITO,1553,NAO
BERTÓPOLIS,ARISTIDES ANGELO ROSSI DEPOLO,PREFEITO,1838,NAO
BERTÓPOLIS,ILDÁSIO FERREIRA ROSA CARRIEIROS,PREFEITO,1810,NAO
BERTÓPOLIS,LAURO ALVES JARDIM,PREFEITO,2442,SIM (2020)
BETIM,FERNANDO DE MENDONÇA PARREIRA,PREFEITO,1192,NAO
BETIM,GABRIELA CLEMENTE DE OLIVEIRA,PREFEITO,1765,NAO
BETIM,JAISEL DE OLIVEIRA PORTES,PREFEITO,1930,NAO
BETIM,JOSÉ AUGUSTO BERNARDES,PREFEITO,366,NAO
BETIM,JUNIO DE ARAUJO ALVES,PREFEITO,6158,NAO
BETIM,MARIA DO CARMO LARA PERPETUO,PREFEITO,28906,NAO
BETIM,VINICIUS BRAGA SARAIVA DE RESENDE,PREFEITO,7136,NAO
BETIM,VITTORIO MEDIOLI,PREFEITO,153144,SIM (2020)
BIAS FORTES,FABRÍCIO JOSÉ DA FONSECA ALMEIDA,PREFEITO,1848,SIM (2020)
BIAS FORTES,JACQUELINE ZARANTONELLI ILDEFONSO,PREFEITO,1484,NAO
BICAS,HELBER MARQUES CORRÊA,PREFEITO,4592,SIM (2020)
BICAS,RAMILLO RODRIGUES DE OLIVEIRA,PREFEITO,3439,NAO
BIQUINHAS,ARISLEU FERREIRA PIRES,PREFEITO,1572,SIM (2020)
BIQUINHAS,SEBASTIÃO DOS REIS PEDRO DA SILVA,PREFEITO,600,NAO
BOA ESPERANÇA,EXPEDITO MANOEL FERNANDES FILHO,PREFEITO,598,NAO
BOA ESPERANÇA,HIDERALDO HENRIQUE SILVA,PREFEITO,16795,SIM (2020)
BOA ESPERANÇA,TADEU DA SILVA,PREFEITO,3635,NAO
BOCAINA DE MINAS,CONCEIÇÃO DE CARVALHO SALGADO,PREFEITO,1438,NAO
BOCAINA DE MINAS,JOAO AIRTON ALVES,PREFEITO,93,NAO
BOCAINA DE MINAS,LUZIMAR DE MOURA BENFICA,PREFEITO,1689,SIM (2020)
BOCAINA DE MINAS,MARIA SONEIDE DA CUNHA,PREFEITO,328,NAO
BOCAIÚVA,MARISA DE SOUZA ALVES,PREFEITO,3097,NAO
BOCAIÚVA,PEDRO NEVES DOS SANTOS,PREFEITO,5092,NAO
BOCAIÚVA,RICARDO AFONSO VELOSO,PREFEITO,8357,NAO
